FSC-A	FSC-H	SSC-A	SSC-H	CD16 FITC	CD56 PE	DAPI	Time	Plate#	Well position	Sample name
103059.0	75474.0	50749.312	33419.0	197.29001	59648.58	116.59	1673.8	LCE123	P3	Ref_Ctrl
76914.0	64132.0	20557.4	15926.0	65.4	17639.879	45.39	1864.0	LCE123	P4	Ref_Ctrl
72203.4	58039.0	22769.01	16914.0	59.95	11540.279	30.26	2106.3	LCE123	P5	Ref_Ctrl
64366.2	54005.0	28015.182	24125.0	59.95	7833.5996	-3.56	2295.2	LCE123	P6	Ref_Ctrl
79505.1	63489.0	35856.64	26323.0	37.06	15918.12	-24.029999	2463.9	LCE123	P7	Ref_Ctrl
76122.0	61327.0	25961.621	18698.0	26.16	7514.34	38.27	2648.6	LCE123	P8	Ref_Ctrl
80491.5	61903.0	36073.55	29203.0	71.94	11577.0	166.43	2832.5	LCE123	P9	Ref_Ctrl
68517.0	51781.0	24921.762	17937.0	46.870003	10480.5	172.66	3050.8	LCE123	P10	Ref_Ctrl
72822.6	54384.0	58942.844	33195.0	90.47	17778.6	81.88	3219.6	LCE123	P11	Ref_Ctrl
85618.8	65926.0	28135.08	20383.0	44.690002	9040.26	36.489998	3422.0	LCE123	P12	Ref_Ctrl
98071.195	69934.0	30395.74	20551.0	41.420002	11255.7	28.48	3633.0	LCE123	P13	Ref_Ctrl
90015.3	70059.0	42576.492	30950.0	66.490005	8845.439	48.95	3847.7	LCE123	P14	Ref_Ctrl
72468.0	58247.0	29232.71	22535.0	111.18	27481.86	37.38	4098.9	LCE123	P15	Ref_Ctrl
70789.5	58161.0	23547.271	19678.0	47.960003	10347.899	16.91	4299.4	LCE123	P16	Ref_Ctrl
75762.9	61191.0	27339.38	20870.0	55.59	9544.14	34.71	4517.1	LCE123	P17	Ref_Ctrl
78648.3	63327.0	39412.223	29222.0	57.77	12866.279	35.6	4731.3	LCE123	P18	Ref_Ctrl
65610.9	53460.0	24825.84	19081.0	33.79	7109.4	32.93	4915.3	LCE123	P19	Ref_Ctrl
87660.0	67068.0	41143.14	27927.0	83.93	26086.5	56.07	5109.8	LCE123	P20	Ref_Ctrl
98465.4	55749.0	44535.223	22211.0	107.91	30404.16	106.799995	5322.5	LCE123	P21	Ref_Ctrl
85260.6	64567.0	24001.8	18739.0	29.43	9435.0	39.16	5544.0	LCE123	P22	Ref_Ctrl
115089.3	69562.0	75108.63	44791.0	129.71	37108.62	61.41	1698.4	LCE123	A3	NKC_085
127671.3	83696.0	64815.76	43674.0	112.270004	17709.24	52.51	1865.3	LCE123	A4	NKC_085
102016.8	74176.0	50605.43	35155.0	105.73	25967.16	41.829998	2052.9	LCE123	A5	NKC_085
123290.09	71681.0	100057.64	55735.0	553.72003	66.299995	203.81	2330.3	LCE123	A6	NKC_085
110112.3	68001.0	86295.305	55742.0	1148.86	149.94	97.9	2758.3	LCE123	A7	NKC_085
93497.4	66435.0	73614.24	49726.0	486.14	137.7	71.2	3001.6	LCE123	A8	NKC_085
98333.09	65024.0	68036.71	44830.0	2174.55	108.119995	105.909996	3369.7	LCE123	A9	NKC_085
155062.8	88576.0	134912.58	80049.0	1257.86	105.06	187.79	4343.7	LCE123	A10	NKC_085
83309.4	57883.0	72867.59	47461.0	1606.66	66.299995	105.909996	5752.0	LCE123	A11	NKC_085
95595.3	59431.0	75192.56	45789.0	2609.46	77.52	113.03	6011.2	LCE123	A12	NKC_085
171486.89	86064.0	140813.83	70451.0	130.8	124.439995	241.19	6154.7	LCE123	A13	NKC_085
151747.2	84793.0	171893.0	100569.0	130.8	87.72	311.5	6350.6	LCE123	A14	NKC_085
96948.9	55518.0	89892.305	37582.0	100.28001	61.199997	218.05	6523.9	LCE123	A15	NKC_085
181331.1	100022.0	119831.336	64770.0	119.9	77.52	219.83	6702.3	LCE123	A16	NKC_085
200381.39	100261.0	175348.31	94064.0	141.7	93.84	39.16	6895.8	LCE123	A17	NKC_085
106067.695	66139.0	106036.3	64198.0	102.46001	67.32	111.25	7098.3	LCE123	A18	NKC_085
145593.0	90272.0	97948.49	61194.0	184.21	98.939995	338.19998	7272.3	LCE123	A19	NKC_085
80250.3	63789.0	37694.383	25786.0	609.31	8936.22	24.029999	7544.3	LCE123	A20	NKC_085
75104.1	61585.0	25238.951	19975.0	2032.8501	6543.3	24.029999	7783.7	LCE123	A21	NKC_085
88710.3	63328.0	44755.402	30090.0	4635.77	8642.46	67.64	8325.1	LCE123	A22	NKC_085
69395.4	56529.0	27849.5	22603.0	3071.62	1594.26	13.349999	9699.8	LCE123	B22	NKC_085
69182.1	57035.0	20375.371	16818.0	1475.86	2654.04	19.58	9936.4	LCE123	B21	NKC_085
65641.5	54170.0	31435.602	26425.0	736.84	11252.64	20.47	11138.7	LCE123	B20	NKC_085
118311.3	77274.0	114052.16	83627.0	183.12001	87.72	161.98	11284.0	LCE123	B19	NKC_085
171934.2	83363.0	168558.69	77544.0	103.55	115.259995	253.65	11471.1	LCE123	B18	NKC_085
109898.09	69006.0	84871.766	55336.0	109.0	60.18	228.73	11649.9	LCE123	B17	NKC_085
148122.89	87671.0	84357.28	47794.0	113.36	61.199997	117.479996	11844.8	LCE123	B16	NKC_085
163762.2	96540.0	110144.5	68237.0	80.66	83.64	-13.349999	12023.5	LCE123	B15	NKC_085
175761.0	98120.0	115333.99	59139.0	185.3	158.09999	184.23	12224.4	LCE123	B14	NKC_085
121256.09	81742.0	61376.812	40622.0	82.840004	43.86	83.659996	12432.5	LCE123	B13	NKC_085
92521.8	62469.0	69994.35	46021.0	588.60004	120.36	70.31	12678.5	LCE123	B12	NKC_085
86880.6	51887.0	85318.664	55326.0	590.78	216.23999	141.51	13055.1	LCE123	B11	NKC_085
108823.5	68626.0	74517.85	49326.0	1763.62	156.06	247.42	13442.7	LCE123	B10	NKC_085
98646.3	69428.0	67099.31	46227.0	803.33	46.92	122.82	13677.5	LCE123	B9	NKC_085
156344.39	91081.0	75482.5	41075.0	725.94	176.45999	80.99	15769.7	LCE123	B8	NKC_085
112042.8	69952.0	86328.0	56587.0	992.99005	137.7	178.0	16173.2	LCE123	B7	NKC_085
162009.89	95337.0	163453.14	95637.0	1493.3	163.2	402.28	16845.5	LCE123	B6	NKC_085
80388.9	63354.0	31730.99	22622.0	30.52	14175.96	17.8	17009.3	LCE123	B5	NKC_085
81941.4	63565.0	36885.6	25290.0	38.15	17362.44	22.25	17202.0	LCE123	B4	NKC_085
90047.695	63777.0	62886.46	39371.0	100.28001	23995.5	59.629997	17410.4	LCE123	B3	NKC_085
97985.695	71545.0	47716.93	32017.0	87.200005	30483.719	58.739998	17592.5	LCE123	B2	NKC_085
95260.5	69754.0	53466.68	34595.0	147.15001	40783.68	56.96	17787.6	LCE123	B1	NKC_085
100778.4	69593.0	61126.113	35973.0	100.28001	33673.258	97.01	17991.8	LCE123	C1	NKC_085
86880.6	67619.0	34424.383	24246.0	53.41	18268.2	36.489998	18197.0	LCE123	C2	NKC_085
84126.6	60419.0	45669.91	29893.0	83.93	25378.62	31.15	18378.2	LCE123	C3	NKC_085
100431.0	67800.0	45846.492	30966.0	111.18	26133.42	47.17	18554.1	LCE123	C4	NKC_085
103349.695	74275.0	47079.28	30076.0	105.73	40002.36	35.6	18750.9	LCE123	C5	NKC_085
112734.9	77628.0	55203.05	35419.0	531.92004	20.4	121.93	19020.6	LCE123	C6	NKC_085
